group,name,total bought,highest price
2,Retailer1,0.0,0.0
2,Retailer2,4700.0,110.0
2,Retailer3,2400.0,55.0
2,Retailer4,12437.0,50.0
2,Retailer5,2000.0,50.0
2,Retailer6,2600.0,58.0
2,Retailer7,3200.0,52.0
2,Retailer8,0.0,0.0
2,Retailer9,1200.0,45.0
2,Retailer10,0.0,0.0
2,Retailer1,4400.0,95.0
2,Retailer2,2390.0,90.0
2,Retailer3,0.0,0.0
2,Retailer4,3705.0,105.0
2,Retailer5,2300.0,100.0
2,Retailer6,5900.0,55.0
2,Retailer7,3000.0,105.0
2,Retailer8,4650.0,52.0
2,Retailer9,1200.0,55.0
2,Retailer10,1200.0,75.0
2,Retailer1,3237.0,46.0
2,Retailer2,1800.0,108.0
2,Retailer3,5200.0,52.0
2,Retailer4,6000.0,50.0
2,Retailer5,2000.0,95.0
2,Retailer6,4800.0,52.0
2,Retailer7,1500.0,100.0
2,Retailer8,1200.0,50.0
2,Retailer9,1500.0,70.0
2,Retailer10,1000.0,53.0
2,Retailer1,3200.0,108.0
2,Retailer2,0.0,0.0
2,Retailer3,1800.0,68.0
2,Retailer4,2800.0,60.0
2,Retailer5,1800.0,87.0
2,Retailer6,4900.0,55.0
2,Retailer7,3200.0,70.0
2,Retailer8,5040.0,51.0
2,Retailer9,2800.0,52.0
2,Retailer10,2000.0,58.0
2,Retailer1,0.0,0.0
2,Retailer2,3000.0,105.0
2,Retailer3,4290.0,110.0
2,Retailer4,3224.0,70.0
2,Retailer5,4480.0,48.0
2,Retailer6,5000.0,48.0
2,Retailer7,1200.0,85.0
2,Retailer8,1800.0,45.0
2,Retailer9,4400.0,55.0
2,Retailer10,1200.0,50.0
2,Retailer1,2600.0,100.0
2,Retailer2,1500.0,85.0
2,Retailer3,2957.0,53.0
2,Retailer4,3250.0,105.0
2,Retailer5,3600.0,50.0
2,Retailer6,2855.0,62.0
2,Retailer7,1300.0,100.0
2,Retailer8,3600.0,50.0
2,Retailer9,3100.0,51.0
2,Retailer10,3400.0,100.0
2,Retailer1,4500.0,52.0
2,Retailer2,5000.0,54.0
2,Retailer3,1200.0,98.0
2,Retailer4,5200.0,100.0
2,Retailer5,4660.0,104.0
2,Retailer6,0.0,0.0
2,Retailer7,2200.0,52.0
2,Retailer8,1000.0,95.0
2,Retailer9,0.0,0.0
2,Retailer10,4860.0,52.0
2,Retailer1,3420.0,105.0
2,Retailer2,2200.0,105.0
2,Retailer3,2300.0,106.0
2,Retailer4,2700.0,52.0
2,Retailer5,3200.0,90.0
2,Retailer6,2640.0,95.0
2,Retailer7,3800.0,50.0
2,Retailer8,1300.0,85.0
2,Retailer9,3600.0,50.0
2,Retailer10,3150.0,75.0
2,Retailer1,6418.0,101.0
2,Retailer2,3600.0,95.0
2,Retailer3,1000.0,85.0
2,Retailer4,1000.0,105.0
2,Retailer5,2500.0,110.0
2,Retailer6,4100.0,55.0
2,Retailer7,1000.0,45.0
2,Retailer8,1600.0,56.0
2,Retailer9,2200.0,105.0
2,Retailer10,4900.0,55.0
2,Retailer1,4700.0,110.0
2,Retailer2,3200.0,110.0
2,Retailer3,2800.0,105.0
2,Retailer4,4000.0,100.0
2,Retailer5,5765.0,52.0
2,Retailer6,2500.0,105.0
2,Retailer7,1900.0,52.0
2,Retailer8,1200.0,52.0
2,Retailer9,2500.0,100.0
2,Retailer10,0.0,0.0
2,Retailer1,2903.0,90.0
2,Retailer2,8100.0,100.0
2,Retailer3,2350.0,51.5
2,Retailer4,0.0,0.0
2,Retailer5,2600.0,55.0
2,Retailer6,3155.0,50.0
2,Retailer7,1300.0,100.0
2,Retailer8,1300.0,105.0
2,Retailer9,3750.0,55.0
2,Retailer10,2700.0,95.0
2,Retailer1,146.0,108.0
2,Retailer2,1800.0,110.0
2,Retailer3,2546.0,54.0
2,Retailer4,5200.0,60.0
2,Retailer5,3500.0,55.0
2,Retailer6,3700.0,55.0
2,Retailer7,3600.0,55.0
2,Retailer8,2000.0,52.0
2,Retailer9,2800.0,58.0
2,Retailer10,1640.0,80.0
2,Retailer1,4200.0,110.0
2,Retailer2,2500.0,52.0
2,Retailer3,3000.0,95.0
2,Retailer4,2200.0,48.0
2,Retailer5,5100.0,100.0
2,Retailer6,3560.0,52.0
2,Retailer7,1200.0,48.0
2,Retailer8,3600.0,95.0
2,Retailer9,2000.0,85.0
2,Retailer10,1200.0,101.0
2,Retailer1,3600.0,55.0
2,Retailer2,1960.0,70.0
2,Retailer3,4800.0,55.0
2,Retailer4,1920.0,50.0
2,Retailer5,3000.0,52.0
2,Retailer6,3500.0,100.0
2,Retailer7,2080.0,54.0
2,Retailer8,1780.0,105.0
2,Retailer9,2400.0,70.0
2,Retailer10,3600.0,54.0
2,Retailer1,1225.0,100.0
2,Retailer2,1825.0,110.0
2,Retailer3,4000.0,52.0
2,Retailer4,1500.0,105.0
2,Retailer5,2600.0,108.0
2,Retailer6,2275.0,100.0
2,Retailer7,3700.0,70.0
2,Retailer8,3000.0,53.0
2,Retailer9,2600.0,55.0
2,Retailer10,4800.0,110.0
2,Retailer1,2000.0,110.0
2,Retailer2,6000.0,55.0
2,Retailer3,4000.0,105.0
2,Retailer4,2600.0,55.0
2,Retailer5,55.0,46.0
2,Retailer6,2900.0,58.0
2,Retailer7,3450.0,110.0
2,Retailer8,3300.0,46.0
2,Retailer9,2000.0,105.0
2,Retailer10,2300.0,110.0
2,Retailer1,3100.0,53.0
2,Retailer2,3780.0,110.0
2,Retailer3,1990.0,110.0
2,Retailer4,2285.0,91.0
2,Retailer5,2000.0,55.0
2,Retailer6,4000.0,55.0
2,Retailer7,3200.0,80.0
2,Retailer8,3000.0,60.0
2,Retailer9,2500.0,51.0
2,Retailer10,2700.0,54.0
2,Retailer1,1800.0,105.0
2,Retailer2,900.0,100.0
2,Retailer3,2757.0,80.0
2,Retailer4,3000.0,88.0
2,Retailer5,800.0,85.0
2,Retailer6,3400.0,48.0
2,Retailer7,3800.0,107.0
2,Retailer8,3600.0,48.0
2,Retailer9,5200.0,85.0
2,Retailer10,3119.0,51.0
2,Retailer1,0.0,0.0
2,Retailer2,2856.0,70.0
2,Retailer3,3200.0,53.0
2,Retailer4,1600.0,55.0
2,Retailer5,4100.0,50.0
2,Retailer6,1500.0,105.0
2,Retailer7,3900.0,61.0
2,Retailer8,6100.0,50.0
2,Retailer9,2000.0,52.0
2,Retailer10,3100.0,105.0
2,Retailer1,2213.0,95.0
2,Retailer2,4400.0,52.0
2,Retailer3,3900.0,55.0
2,Retailer4,2200.0,55.0
2,Retailer5,5000.0,55.0
2,Retailer6,3200.0,58.0
2,Retailer7,2900.0,58.0
2,Retailer8,2200.0,52.0
2,Retailer9,1715.0,53.0
2,Retailer10,950.0,110.0
